"","Trans2","Trans4","Trans5","Trans6","Trans7","Trans8","Trans9","Trans11","Trans31","Trans41","Food10","Food18","Food26","Food30","Food43","Food46","Food51","Food53","Food55","Food58","Food59","Food81","Food82","Food87","Food107","Food137","Food150","Food153","Food156","Food160","Food162"
"7846",0,49.48,0,0,3,11,3,18,0,0,0,0,0,0,3.75,0,1,0,8,14.8,3.75,0.401408451,0.528169014,0,0,1,5,2,4,0,0
"7847",0,96.83,0,0,16,21,7,45,0,31,0,0,0,0,0,0,0,4,4,6.4,0,0.761904762,0,0,0,0,3,5,4,0,0
"7848",104.15,198.23,8,15,18,28,2,16,0.43,0,0,3,14.55,26.7,17,33.1,5,4,0,26.3,21.25,0.164146868,0.146868251,0.285961123,5,9,0,7,7,9.15,11.6
"7849",0,23.47,0,0,0,4,21,49,0,24,0,0,0,0,0,0,3,0,0,0,14.35,0,0,0,0,0,0,3,0,0,0
"7850",55.38,101.45,14,19,22,30,9,29,0,10,3.45,1,3.45,4.5,0,4.5,0,0,0,3.45,0,0.234693878,0,0.306122449,4,4,1,0,5,2.25,2.25
"7851",190.61,257.55,11,19,22,27,16,86,0,0,12.15,5,22.05,88.55,0,94.5,0,0,10,34.4,0,0.160394818,0,0.582973473,14,23,1,2,28,30.05,31.55
"7852",6.2,132.08,0,2,17,31,6,33,1,6,0,0,0,0,0,26.33,0,0,10,0,0,0,0,0.437957419,0,12,15,0,33,0,13.86
"7853",0,227.21,0,0,0,29,0,7,0.8,0,0,0,0,0,0,0,6,8,0,0,9.37,0,0,0,0,0,2,18,3,0,0
"7854",76.37,115.28,14,18,21,23,4,113,0.6,82,4.38,1,4.38,10.33,0,21.94,1,2,15,4.38,4.87,0.047036083,0,0.235609966,12,20,3,8,3,4.82,9.15
"7855",115.86,183.52,11,15,19,25,10,36,0,8,3.95,1,3.95,87.4,0,93.55,0,2,2,3.95,0,0.034527972,0,0.817744755,6,10,4,8,10,61.35,64.8
"7856",28.75,33.5,3,6,6,7,15,248,1,0,4.95,2,9.7,0,0,0,0,2,2,14.45,0,0.435955056,0,0,0,0,1,8,9,0,0
